dataset,model_key,model_name,operator,total,original_yes,yes_to_no,yes_to_yes,no_to_yes,no_to_no,other_transitions,delta_flip
ChestX-Det10,qwen25vl,Qwen2.5-VL,matched_patch,1476,363,154,209,169,944,{},0.4242
ChestX-Det10,qwen25vl,Qwen2.5-VL,zero,1476,363,198,165,33,1080,{},0.5455
ChestX-Det10,qwen25vl,Qwen2.5-VL,blur,1476,363,156,207,100,1013,{},0.4298
ChestX-Det10,qwen3vl,Qwen3-VL,matched_patch,1476,600,91,509,185,691,{},0.1517
ChestX-Det10,qwen3vl,Qwen3-VL,zero,1476,600,145,455,58,818,{},0.2417
ChestX-Det10,qwen3vl,Qwen3-VL,blur,1476,600,118,482,72,804,{},0.1967
ChestX-Det10,huatuogpt_vision,HuatuoGPT-Vision,matched_patch,1476,448,214,234,55,973,{},0.4777
ChestX-Det10,huatuogpt_vision,HuatuoGPT-Vision,zero,1476,448,261,187,20,1008,{},0.5826
ChestX-Det10,huatuogpt_vision,HuatuoGPT-Vision,blur,1476,448,237,211,37,991,{},0.5290
ChestX-Det10,medgemma,MedGemma,matched_patch,1476,654,230,424,93,729,{},0.3517
ChestX-Det10,medgemma,MedGemma,zero,1476,654,205,449,66,756,{},0.3135
ChestX-Det10,medgemma,MedGemma,blur,1476,654,177,477,82,740,{},0.2706
ChestX-Det10,internvl3,InternVL3,matched_patch,1476,405,77,328,252,819,{},0.1901
ChestX-Det10,internvl3,InternVL3,zero,1476,405,51,354,207,864,{},0.1259
ChestX-Det10,internvl3,InternVL3,blur,1476,405,58,347,189,882,{},0.1432
ChestX-Det10,llava_med,LLaVA-Med,matched_patch,1476,989,78,911,108,379,{},0.0789
ChestX-Det10,llava_med,LLaVA-Med,zero,1476,989,173,816,30,457,{},0.1749
ChestX-Det10,llava_med,LLaVA-Med,blur,1476,989,118,871,28,459,{},0.1193
